Star_Name,Obs_Year,RAdeg,DEdeg,Plx,Radius_Rsun_final,Prot,new_i,Teff_bprp
133,2022,61.35753568749,19.44200665088,21.1983,0.631590720550973,13.51,39.36029648817024,4107.411961696205
134,2022,61.41591188182,17.93759007273,21.9539,0.7871960952226348,9.1,57.716866948027025,5117.578566583321
137,2020,61.56774806807,15.69803286213,21.175,1.0437811831782056,7.47,61.286203581348225,5984.580220622125
177,2020,63.63522486408,23.57472991647,21.994,0.9691360132317396,8.38,67.35704163845655,5802.024210326257
177,2022,63.63522486408,23.57472991647,21.994,0.9691360132317396,8.38,67.35704163845655,5802.024210326257
68,2022,54.39639378742,21.34305957131,22.0539,0.771304780257307,10.57,46.99959473458705,4945.458029348253
587,2020,73.09841989087,18.99675085915,19.7168,0.7098242351794767,11.79,41.04153800854347,4640.090512670711
587,2022,73.09841989087,18.99675085915,19.7168,0.7098242351794767,11.79,41.04153800854347,4640.090512670711
571,2020,72.50336213923,16.41194042331,20.3225,0.6854872112792797,12.22,50.82197672165489,4454.6327236176985
571,2022,72.50336213923,16.41194042331,20.3225,0.6854872112792797,12.22,50.82197672165489,4454.6327236176985
216,2020,64.58084849162,16.08822764432,22.2427,0.743669227562515,12.64,57.12783851976126,4888.086106629327
216,2022,64.58084849162,16.08822764432,22.2427,0.743669227562515,12.64,57.12783851976126,4888.086106629327
409,2020,67.96911967367,15.49937349658,21.8718,0.6469115442060569,12.9,42.07073217822067,4206.193950908307
409,2022,67.96911967367,15.49937349658,21.8718,0.6469115442060569,12.9,42.07073217822067,4206.193950908307
198,2020,64.13999161938,21.90729683162,19.6756,0.8338284535822499,10.26,41.04629744904093,5333.803366960098
198,2022,64.13999161938,21.90729683162,19.6756,0.8338284535822499,10.26,41.04629744904093,5333.803366960098
429,2020,68.40865079618,16.76238624473,20.6156,0.7841087253836294,9.82,70.1619574160312,5108.328943190931
429,2022,68.40865079618,16.76238624473,20.6156,0.7841087253836294,9.82,70.1619574160312,5108.328943190931
95,2020,58.77777509782,16.99836888503,24.5486,0.7819632392225863,9.82,70.6023953350756,5090.454462109971
95,2022,58.77777509782,16.99836888503,24.5486,0.7819632392225863,9.82,70.6023953350756,5090.454462109971
439,2022,68.63451075082,15.82746607671,19.1963,0.7701148662378223,9.16,63.30089046084635,5029.0393368561945
225,2020,64.74209416547,19.90653885437,21.4467,0.8852160640147642,9.39,54.854985754950334,5540.964940716325
225,2022,64.74209416547,19.90653885437,21.4467,0.8852160640147642,9.39,54.854985754950334,5540.964940716325
227,2022,64.78389360834,17.52463051305,21.3907,0.9018087504457291,8.96,74.21307931946353,5599.733286370552
440,2020,68.64759095859,15.50450385509,21.669,1.0008140792762898,8.93,72.24431824421033,5885.3280629572855
340,2020,66.90003194033,15.58908547279,21.284,1.1343006886656042,5.87,64.17494562854685,6172.054638298975
233,2020,65.05456696075,19.23332102777,22.02,1.1007574021069615,5.45,73.54722406838441,6105.163067740798
344,2020,66.94247703953,11.73636378465,22.1517,1.1002661862593028,5.14,52.570413359398934,6104.183491709227
